Name,review_count,rating,price,category
Osha Thai,2208,3.5,$$,Thai
Lers Ros,2073,4,$$,Thai
King Of Thai Noodle House,1717,3.5,$$,Thai
Marnee Thai,1649,4,$$,Thai
Kin Khao,1602,4,$$,Thai
Osha Thai Restaurant,1594,3.5,$$,Thai
Marnee Thai,1556,4,$$,Thai
Farmhouse Kitchen Thai Cuisine,1460,4,$$,Thai
Basil Thai Restaurant & Bar,1418,4,$$,Thai
Blackwood,1326,4,$$,Thai
House of Thai,1230,4,$$,Thai
Chabaa Thai Cuisine,1176,3.5,$,Thai
Koh Samui & The Monkey,1041,3.5,$$,Thai
King’s Thai Cuisine 1,914,3.5,$,Thai
Osha Thai,880,3.5,$$,Thai
Chabaa Thai Cuisine,871,3.5,$$,Thai
Sai Jai Thai Restaurant,853,4,$,Thai
Thai Time Restaurant,764,4,$,Thai
Lers Ros Thai,691,3.5,$$,Thai
Modern Thai,677,3.5,$$,Thai
Thai Idea Vegetarian,663,4.5,$$,Thai
Ploy II,660,3.5,$$,Thai
Champa Garden,636,4,$$,Asian Fusion
Lao Table,601,4,$$,Laotian
Zen Yai Thai Restaurant,586,4,$,Thai
Jitlada Thai Cuisine,582,4,$$,Thai
King of Thai Noodle Cafe,574,3,$,Thai
Khan Toke Thai House,567,4,$$,Thai
Thai Spice,554,3.5,$$,Thai
Manora’s Thai Cuisine,553,4,$$,Thai
Thai House Express,549,3.5,$$,Thai
The Old Siam Thai Restaurant,532,3.5,$$,Thai
Lemon Grass Thai Cuisine,524,3.5,$$,Thai
Basil Canteen,510,4,$$,Thai
Pagan Restaurant,501,4,$$,Thai
Regent Thai Restaurant,499,4,$$,Thai
Thep Phanom Thai Restaurant,430,3.5,$$,Thai
Sweet Lime Thai Cuisine,427,4,$$,Thai
Vanida Thai Kitchen,422,3.5,$$,Thai
Amphawa,407,4,$$,Thai
