Name,review_count,rating,price,categories
Osha Thai,2207,3.5,$$,Thai
Lers Ros,2072,4,$$,Thai
King Of Thai Noodle House,1717,3.5,$$,Thai
Marnee Thai,1648,4,$$,Thai
Kin Khao,1598,4,$$,Thai
Osha Thai Restaurant,1594,3.5,$$,Thai
Marnee Thai,1555,4,$$,Thai
Farmhouse Kitchen Thai Cuisine,1456,4,$$,Thai
Basil Thai Restaurant & Bar,1417,4,$$,Thai
Blackwood,1325,4,$$,Thai
House of Thai,1230,4,$$,Thai
Chabaa Thai Cuisine,1173,3.5,$,Thai
Koh Samui & The Monkey,1041,3.5,$$,Thai
King’s Thai Cuisine 1,914,3.5,$,Thai
Osha Thai,879,3.5,$$,Thai
Chabaa Thai Cuisine,871,3.5,$$,Thai
Sai Jai Thai Restaurant,853,4,$,Thai
Thai Time Restaurant,764,4,$,Thai
Lers Ros Thai,691,3.5,$$,Thai
Modern Thai,677,3.5,$$,Thai
Thai Idea Vegetarian,663,4.5,$$,Thai
Ploy II,660,3.5,$$,Thai
Champa Garden,634,4,$$,Asian Fusion
Lao Table,599,4,$$,Laotian
Zen Yai Thai Restaurant,586,4,$,Thai
Jitlada Thai Cuisine,583,4,$$,Thai
King of Thai Noodle Cafe,574,3,$,Thai
Khan Toke Thai House,567,4,$$,Thai
Thai Spice,554,3.5,$$,Thai
Manora’s Thai Cuisine,552,4,$$,Thai
Thai House Express,549,3.5,$$,Thai
The Old Siam Thai Restaurant,532,3.5,$$,Thai
Lemon Grass Thai Cuisine,524,3.5,$$,Thai
Basil Canteen,509,4,$$,Thai
Pagan Restaurant,501,4,$$,Thai
Regent Thai Restaurant,500,4,$$,Thai
Thep Phanom Thai Restaurant,430,3.5,$$,Thai
Sweet Lime Thai Cuisine,426,4,$$,Thai
Vanida Thai Kitchen,422,3.5,$$,Thai
Amphawa,407,4,$$,Thai
Banana Island,1328,3.5,$$,Thai
Nan King Road Bistro,594,4,$$,Chinese
Bangkok Garden Thai Cuisine,585,3.5,$$,Thai
Ozone Thai,464,3,$$,Thai
pomelo on Judah,420,4,$$,Asian Fusion
Siam Lotus Thai Cuisine,407,4,$$,Thai
Sri Thai,405,4,$$,Thai
Hawker Fare,405,3,$$,Thai
Banana House,402,3,$$,Thai
Rooster & Rice,382,4.5,$$,Chicken Shop
Tawan’s Thai Food,378,4,$$,Thai
Na Ya Dessert Cafe,374,3.5,$,Desserts
Yukol Place Thai Cuisine,364,4,$$,Thai
Ben Thai Cafe,356,4.5,$$,Thai
The Noodle House,353,3,$,Thai
iThai,352,3.5,$$,Thai
Cha-Am,352,3,$$,Thai
Krua Thai,338,3.5,$$,Thai
Million Thai Restaurant,335,3.5,$$,Thai
Rin’s Thai Restaurant,327,4,$$,Thai
Saap Ver Authentic Thai Cuisine,325,4,$$,Thai
Tamarind Hall,323,4,$$,Thai
Sweet Basil Thai Cuisine,319,3.5,$$,Thai
My Ivy Thai,311,3.5,$$,Thai
Rooster & Rice,310,4,$$,Thai
Penang Garden,309,3,$$,Thai
RAW Sugar Factory,305,4,$$,Breakfast & Brunch
Bai Som Thai Kitchen,299,3.5,$$,Thai
Thai Thai Noodle,298,3.5,$$,Thai
Benjarong Thai Cuisine,283,3.5,$$,Thai
Zabb Thai Cuisine,278,4,$$,Thai
Lalita Exotic Thai Cuisine & Bar,272,3,$$,Bars
Chili Cha Cha 2,265,4,$$,Thai
Tycoon Thai Restaurant,265,4,$$,Laotian
Thailand Restaurant,259,3.5,$$,Thai
House of Thai 2,236,3.5,$$,Thai
Patpong Thai Cuisine,235,3.5,$$,Thai
Bai Thong Thai,234,3,$$,Thai
Thai Chef,231,3.5,$$,Thai
Manivanh Thai Restaurant,228,4,$$,Thai
Lers Ros Thai,226,3.5,$$,Thai
Thai Cottage Restaurant,218,4,$$,Thai
Me & Tasty,217,4,$$,Thai
Thai Cafe,217,3.5,$$,Thai
Bangkok 900,211,4,$,Thai
Chili Lemon Garlic,209,3,$$,Thai
Crepe & Curry,208,3,$,Creperies
Rooster & Rice,171,4,$$,Thai
Lanna Thai Restaurant,169,4,$,Thai
Vanda Siam Restaurant,169,3,$,Thai
King’s Thai Cuisine #2,164,3,$$,Thai
Navin Thai Restaurant,151,4,$,Thai
Chaiya Thai Restaurant,146,3.5,$$,Thai
Phuket Thai Restaurant,146,3,$,Thai
One Waan,139,4.5,$$,Thai
Hippie Thai Street Food,137,3.5,$$,Thai
Sriracha Thai Cuisine,133,4,$$,Thai
Lapisara Eatery,130,4.5,$$,Breakfast & Brunch
Nute’s,129,4,$$,Thai
Thai-To-Go,119,2.5,$,Thai
Noodle Bar and Grill,113,3.5,$$,Thai
Coriander Gourmet Thai,111,3,$$,Thai
Pak Nam Thai Noodle Bar,107,4,$$,Thai
Derm Restaurant,101,4.5,$$,Thai
Phat Thai,95,3.5,$,Thai
Osha Thai Express,90,3,$$,Thai
BLUE Pea,83,4,$$,Asian Fusion
House Of Thai,81,3,$$,Thai
Rincon Center,79,3.5,$,Burgers
Lapats Thai Noodles Bar,78,4,$$,Thai
Mangrove Kitchen,70,4,$$,Thai
What The Cluck SF,63,4.5,$$,Thai
Simply Delish,57,4.5,$,Thai
Esan Classic,57,4,$$$,Thai
Mae Krua,54,4.5,$,Thai
Ocean Thai,53,4,$$,Thai
Spork and Stix,49,4.5,$$,Food Trucks
Bussaba,40,4.5,$$,Thai
Wow Thai Kitchen,40,3.5,$$,Thai
Thainery,36,3.5,$,Thai
